Index PThresh FE EmpPval NAnnotThesh NAnnot NThresh N Annotation Celltype Tissue Type Category
20 0.01 4.20165 -1 2079 17739 39280 1408205 immvar_cd4_eQTL_p1e-3 tcel eQTL immvar1 immvar
20 0.001 7.26761 -1 676 17739 7384 1408205 immvar_cd4_eQTL_p1e-3 tcel eQTL immvar1 immvar
20 0.0001 11.8774 -1 294 17739 1965 1408205 immvar_cd4_eQTL_p1e-3 tcel eQTL immvar1 immvar
20 1e-05 14.6591 0 130 17739 704 1408205 immvar_cd4_eQTL_p1e-3 tcel eQTL immvar1 immvar
20 1e-06 16.2124 0 58 17739 284 1408205 immvar_cd4_eQTL_p1e-3 tcel eQTL immvar1 immvar
20 1e-07 17.7506 0.000231022 36 17739 161 1408205 immvar_cd4_eQTL_p1e-3 tcel eQTL immvar1 immvar
20 1e-08 23.191 3e-05 26 17739 89 1408205 immvar_cd4_eQTL_p1e-3 tcel eQTL immvar1 immvar
21 0.1 3.14403 -1 457 786 260419 1408205 rosmap_aceQTL_p1e-5 dlpfc aceQTL rosmap1 rosmap
21 0.01 8.80297 -1 193 786 39280 1408205 rosmap_aceQTL_p1e-5 dlpfc aceQTL rosmap1 rosmap
21 0.001 22.0797 -1 91 786 7384 1408205 rosmap_aceQTL_p1e-5 dlpfc aceQTL rosmap1 rosmap
21 0.0001 50.1468 -1 55 786 1965 1408205 rosmap_aceQTL_p1e-5 dlpfc aceQTL rosmap1 rosmap
21 1e-05 76.347 0 30 786 704 1408205 rosmap_aceQTL_p1e-5 dlpfc aceQTL rosmap1 rosmap
21 1e-06 100.936 2e-05 16 786 284 1408205 rosmap_aceQTL_p1e-5 dlpfc aceQTL rosmap1 rosmap
21 1e-07 144.664 0 13 786 161 1408205 rosmap_aceQTL_p1e-5 dlpfc aceQTL rosmap1 rosmap
21 1e-08 161.044 0.000897908 8 786 89 1408205 rosmap_aceQTL_p1e-5 dlpfc aceQTL rosmap1 rosmap
22 0.1 1.86934 -1 6813 19708 260419 1408205 rosmap_eQTL_p1e-5 dlpfc eQTL rosmap1 rosmap
22 0.01 3.1179 -1 1714 19708 39280 1408205 rosmap_eQTL_p1e-5 dlpfc eQTL rosmap1 rosmap
22 0.001 4.61583 -1 477 19708 7384 1408205 rosmap_eQTL_p1e-5 dlpfc eQTL rosmap1 rosmap
22 0.0001 5.99991 -1 165 19708 1965 1408205 rosmap_eQTL_p1e-5 dlpfc eQTL rosmap1 rosmap
22 1e-05 7.00325 0.0714286 69 19708 704 1408205 rosmap_eQTL_p1e-5 dlpfc eQTL rosmap1 rosmap
22 1e-06 8.80589 0.0420168 35 19708 284 1408205 rosmap_eQTL_p1e-5 dlpfc eQTL rosmap1 rosmap
22 1e-07 7.10097 0.475248 16 19708 161 1408205 rosmap_eQTL_p1e-5 dlpfc eQTL rosmap1 rosmap
22 1e-08 9.63418 0.247525 12 19708 89 1408205 rosmap_eQTL_p1e-5 dlpfc eQTL rosmap1 rosmap
23 0.1 2.54296 -1 3559 7568 260419 1408205 rosmap_mQTL_p1e-12 dlpfc mQTL rosmap1 rosmap
23 0.01 6.00192 -1 1267 7568 39280 1408205 rosmap_mQTL_p1e-12 dlpfc mQTL rosmap1 rosmap
23 0.001 13.0786 -1 519 7568 7384 1408205 rosmap_mQTL_p1e-12 dlpfc mQTL rosmap1 rosmap
23 0.0001 25.0939 -1 265 7568 1965 1408205 rosmap_mQTL_p1e-12 dlpfc mQTL rosmap1 rosmap
23 1e-05 32.51 0 123 7568 704 1408205 rosmap_mQTL_p1e-12 dlpfc mQTL rosmap1 rosmap
23 1e-06 39.9665 0 61 7568 284 1408205 rosmap_mQTL_p1e-12 dlpfc mQTL rosmap1 rosmap
23 1e-07 41.6065 7e-05 36 7568 161 1408205 rosmap_mQTL_p1e-12 dlpfc mQTL rosmap1 rosmap
23 1e-08 52.2679 4e-05 25 7568 89 1408205 rosmap_mQTL_p1e-12 dlpfc mQTL rosmap1 rosmap
24 0.1 2.79799 -1 282 545 260419 1408205 rosmap_sQTL_fdr0.05 dlpfc sQTL rosmap1 rosmap
24 0.01 7.36743 -1 112 545 39280 1408205 rosmap_sQTL_fdr0.05 dlpfc sQTL rosmap1 rosmap
24 0.001 19.5959 -1 56 545 7384 1408205 rosmap_sQTL_fdr0.05 dlpfc sQTL rosmap1 rosmap
24 0.0001 34.1885 -1 26 545 1965 1408205 rosmap_sQTL_fdr0.05 dlpfc sQTL rosmap1 rosmap
24 1e-05 44.0431 0.00393546 12 545 704 1408205 rosmap_sQTL_fdr0.05 dlpfc sQTL rosmap1 rosmap
24 1e-06 72.7849 0.0025227 8 545 284 1408205 rosmap_sQTL_fdr0.05 dlpfc sQTL rosmap1 rosmap
24 1e-07 96.293 0.00539957 6 545 161 1408205 rosmap_sQTL_fdr0.05 dlpfc sQTL rosmap1 rosmap
24 1e-08 145.161 0.00437445 5 545 89 1408205 rosmap_sQTL_fdr0.05 dlpfc sQTL rosmap1 rosmap
